Kvartal efter 2010;Arbejdene;Ledige;Total
1;2625;235;2860
2;2652;214;2866
3;2664;219;2883
4;2639;215;2854
5;2616;234;2850
6;2629;227;2856
7;2628;214;2842
8;2619;199;2818
9;2605;222;2827
10;2638;195;2833
11;2637;205;2842
12;2614;186;2800
13;2581;213;2794
14;2637;182;2819
15;2675;191;2866
16;2673;179;2852
17;2653;193;2846
18;2675;176;2851
19;2689;182;2871
20;2704;171;2875
21;2725;189;2914
22;2762;181;2943
23;2761;191;2952
24;2746;184;2930
25;2696;192;2888
26;2730;164;2894
27;2759;176;2935
28;2756;151;2907
29;2750;155;2905
30;2795;147;2942
31;2801;148;2949
32;2799;148;2947
